pred_label,area,perimeter,convex_area,convexity,solidity,eccentricity,major_axis_length,minor_axis_length,circularity,bbox_area,extent,skeleton_length,mean_intensity,boundary_edge_strength,mean_cellprob,max_cellprob,image_name,run_name,postprocess,matched_gt_label,best_iou,best_dice,quality_good
1,2037.0,240.97160876900367,2820.0,0.7223404255319149,0.7223404255319149,0.8893721356585628,84.30984602020806,38.54511213191109,0.4408279666112855,5451.0,0.37369290038525044,113.0,0.34445276856422424,0.019842062145471573,2.951632022857666,6.78125,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.00261138815743481,0.005209173141817051,0
2,13221.0,605.9726547895302,16122.0,0.8200595459620394,0.8200595459620394,0.87738746869924,196.92447945301382,94.48091546423531,0.4524474200385252,22220.0,0.595004500450045,331.0,0.256265789270401,0.009813983924686909,4.729371547698975,8.03038501739502,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.016695320572535557,0.03284232795157129,0
3,6183.0,379.4213562373095,6796.0,0.9097998822836962,0.9097998822836962,0.9041704347815334,147.12313436235362,62.84686758540804,0.5397163396899749,10430.0,0.5928092042186002,171.0,0.21808229386806488,0.010609673336148262,3.6033775806427,7.281250476837158,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.007970064229169911,0.01581408915207199,0
4,11387.0,530.4579361637687,14076.0,0.8089656152315999,0.8089656152315999,0.6996409812515745,149.76707846467335,107.0077650398113,0.5085308238166005,18450.0,0.6171815718157182,260.0,0.22416459023952484,0.008666763082146645,5.259904861450195,8.4375,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.015194061468802924,0.02993331431986482,0
5,7195.0,384.35028842544403,7739.0,0.9297066804496705,0.9297066804496705,0.8945307400283652,149.14362116935231,66.6681587710689,0.6120490662044087,10512.0,0.6844558599695586,142.0,0.1780204027891159,0.006405254825949669,4.560279369354248,8.14958667755127,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.009472368135698805,0.01876696863568925,0
6,2460.0,245.82337649086287,2945.0,0.8353140916808149,0.8353140916808149,0.7950078136375516,81.6577493294118,49.5335245295411,0.511562394966548,4788.0,0.5137844611528822,108.0,0.1784190684556961,0.006653301417827606,2.7491822242736816,6.21875,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.002892971694885395,0.005769253103840749,0
7,8344.0,408.2264427649427,9385.0,0.8890783164624401,0.8890783164624401,0.7460252394946439,129.25260554422817,86.07159381080108,0.6291901197527973,13800.0,0.6046376811594203,166.0,0.30136463046073914,0.012896504253149033,4.882931709289551,7.79422664642334,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.011296342663491268,0.02234032140122181,0
8,11268.0,680.5828278447966,18372.0,0.6133246244284781,0.6133246244284781,0.6599247636082243,159.2590111556049,119.65634178500841,0.305699499987579,29028.0,0.3881769326167838,386.0,0.337028443813324,0.01274477131664753,4.624349594116211,8.0,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.014522006962884974,0.028628273932388423,0
9,7190.0,403.0609665440988,8668.0,0.8294877711121366,0.8294877711121366,0.6232848251608971,117.5554125079257,91.92773328146205,0.5561568240716771,12636.0,0.5690091801202912,178.0,0.3098391592502594,0.008829833939671516,4.547140598297119,7.5625,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.008961381682121171,0.017763577169189422,0
10,13795.0,638.7249634685276,18100.0,0.7621546961325967,0.7621546961325967,0.8543909350609507,193.4515574217822,100.52338042937842,0.4249166888077738,26462.0,0.5213135817398534,451.0,0.18570803105831146,0.011093979701399803,4.87686824798584,8.5,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.01739791277358156,0.03420080296047041,0
