pred_label,area,perimeter,convex_area,convexity,solidity,eccentricity,major_axis_length,minor_axis_length,circularity,bbox_area,extent,skeleton_length,mean_intensity,boundary_edge_strength,mean_cellprob,max_cellprob,image_name,run_name,postprocess,matched_gt_label,best_iou,best_dice,quality_good
46,9475.0,696.7249634685276,19665.0,0.4818204932621409,0.4818204932621409,0.830770405903517,193.46323712136038,107.68458742571075,0.2452823733307381,28819.0,0.3287761546202158,346.0,0.3051777184009552,0.01458801981061697,4.283320903778076,7.9375,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.0119322197564402,0.02358304147942268,0
47,9887.0,678.7249634685276,17233.0,0.57372483026751,0.57372483026751,0.9510229241004412,257.44871417535524,79.58263956925859,0.2697036056530085,27378.0,0.36112937394988676,320.0,0.2859625518321991,0.015101525001227856,4.082962512969971,7.875,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.012781760208534556,0.025240897320075662,0
48,11108.0,542.7300141024109,14136.0,0.7857951329937748,0.7857951329937748,0.8412686035993431,168.5452569945026,91.11849291578862,0.47389055812636466,17010.0,0.6530276308054086,336.0,0.23355582356452942,0.010976514779031277,4.708998203277588,8.3125,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.014220008055920302,0.02804126904019086,0
49,5741.0,366.5462479183374,6263.0,0.9166533610091011,0.9166533610091011,0.9384112642990433,148.13888720055422,51.18499731856775,0.5369574276776531,12555.0,0.45726802070888095,150.0,0.36736807227134705,0.009622525423765182,4.128878116607666,7.59375,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.007435258087007658,0.014760766068732346,0
50,4196.0,307.0782104868019,4935.0,0.8502532928064843,0.8502532928064843,0.8005194782582179,98.96788944016026,59.312122881190696,0.559174478522046,7068.0,0.5936615732880589,134.0,0.45464855432510376,0.013547629117965698,4.129076957702637,8.1875,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.005464417223470349,0.010869439295644115,0
51,6609.0,442.4041122946064,9029.0,0.7319747480341123,0.7319747480341123,0.6431508472581949,118.45790224648093,90.70789528672823,0.42433348624572936,12573.0,0.5256502028155572,242.0,0.22165554761886597,0.01062482874840498,4.005396366119385,8.625,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.008280443835281587,0.016424882354723776,0
52,6193.0,458.51681066681454,9550.0,0.6484816753926702,0.6484816753926702,0.8641655778076263,138.85704542764768,69.87391580368964,0.37016931751456267,13984.0,0.4428632723112128,241.0,0.32788124680519104,0.013507113792002201,4.6424455642700195,8.646742820739746,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.007881933984436965,0.015640589872024973,0
53,5363.0,445.2447327281723,9252.0,0.5796584522265457,0.5796584522265457,0.643592866861854,110.87688100251155,84.86162001284988,0.33995394092789427,11253.0,0.4765840220385675,209.0,0.3699513077735901,0.011437248438596725,4.452627658843994,8.875,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.00709173392967376,0.014083590780755991,0
54,14333.0,504.03152929257595,15754.0,0.9098006855401802,0.9098006855401802,0.7499744183498305,170.0648364686173,112.49224886863232,0.7089760368237236,18792.0,0.762718177948063,214.0,0.1827007532119751,0.013521918095648289,4.321536064147949,7.945329666137695,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.018696289964046715,0.036706308147458885,0
55,8985.0,540.7838379715732,13115.0,0.6850934044986656,0.6850934044986656,0.874742529571844,174.50223171124824,84.56168335786707,0.3860828745860069,19548.0,0.4596378146101903,274.0,0.2661591172218323,0.012124897912144661,5.280251979827881,8.993979454040527,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.011600654664484452,0.02293524546666494,0
56,11849.0,567.0853531617383,15953.0,0.7427443114147809,0.7427443114147809,0.7670876218375636,168.17947182277504,107.89425273345363,0.463014618312731,20618.0,0.5746920166844505,266.0,0.23858565092086792,0.012909628450870514,3.835646152496338,7.660306453704834,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.014564291838009853,0.02871043650003652,0
57,7993.0,799.0264786586927,17009.0,0.4699276853430537,0.4699276853430537,0.9875677944757358,350.99984882263124,55.17495599823413,0.15732485278068317,28710.0,0.2784047370254267,342.0,0.1865503191947937,0.014959326945245266,2.881063222885132,7.089247703552246,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.0015693763892515027,0.0031338346124544004,0
58,14245.0,524.2569260369921,15905.0,0.8956303049355548,0.8956303049355548,0.7076456636457394,164.1241043666922,115.96475609904141,0.6513043280930954,25277.0,0.563555801716976,278.0,0.12770749628543854,0.010574928484857082,4.129721641540527,7.5,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.016142623633207103,0.031772358048497804,0
59,6562.0,377.22034611053283,7583.0,0.8653567189766583,0.8653567189766583,0.871452855704255,135.601244252676,66.50960011949414,0.5795032442749851,10488.0,0.6256674294431731,179.0,0.2261536866426468,0.02056257240474224,4.620125770568848,7.765718460083008,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.008539295751893215,0.016933987179006127,0
60,13668.0,728.1391770309007,18601.0,0.7347992043438525,0.7347992043438525,0.7922733671481141,186.14966944139977,113.58225475214901,0.32395600672390107,27930.0,0.48936627282491946,418.0,0.2909972667694092,0.017220353707671165,4.816823482513428,7.96875,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.01722223836786887,0.03386130919729384,0
61,6291.0,499.50461735799473,10384.0,0.6058359013867488,0.6058359013867488,0.8319881663509614,160.42820770423344,89.00450710222596,0.3168476824852662,17750.0,0.3544225352112676,227.0,0.4751845896244049,0.01745041087269783,3.7299695014953613,7.6875,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.008083236671173525,0.016036843738946517,0
62,15517.0,583.8132752230962,18742.0,0.8279265820083236,0.8279265820083236,0.7949091783251643,189.56443663755687,115.01413465650859,0.5720970283885966,28416.0,0.5460655968468469,295.0,0.19608427584171295,0.010937618091702461,5.392626762390137,8.419142723083496,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.020684730905087857,0.040531087178595805,0
63,17224.0,729.0681092190351,23497.0,0.7330297484785292,0.7330297484785292,0.9048050757761443,255.8233367521655,108.93622596508746,0.40719991363381824,41028.0,0.4198108608754997,284.0,0.4295828938484192,0.014783910475671291,4.631175994873047,7.65625,F01_120w1,d30_cp-2.0_ft0.2,False,9,0.02285768283020651,0.044693769649283385,0
