image_name,diameter,cellprob_threshold,flow_threshold,raw_image_dice_binary,raw_image_iou_binary,raw_n_pred_instances,raw_n_gt_instances,post_image_dice_binary,post_image_iou_binary,post_n_pred_instances,post_n_gt_instances,out_dir
jw-15min 2_c1,55,-2.0,0.3,0.7244119812610746,0.5679043473434663,37,24,0.7242695906633797,0.567729345763577,37,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d55_cp-2.0_ft0.3
jw-15min 2_c1,55,-2.0,0.5,0.7473496826444025,0.5966147713290746,42,24,0.7471469684377905,0.5963564357633846,42,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d55_cp-2.0_ft0.5
jw-15min 2_c1,55,0.0,0.3,0.783813676994289,0.6444848640109304,40,24,0.7835948416727399,0.6441890157308281,40,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d55_cp0.0_ft0.3
jw-15min 2_c1,55,0.0,0.5,0.783813676994289,0.6444848640109304,40,24,0.7835948416727399,0.6441890157308281,40,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d55_cp0.0_ft0.5
jw-15min 2_c1,55,2.0,0.3,0.7593005151979938,0.6119938990054186,37,24,0.7593259071480117,0.612026890480576,37,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d55_cp2.0_ft0.3
jw-15min 2_c1,55,2.0,0.5,0.772329347141958,0.6291014168530947,38,24,0.772351993556182,0.6291314688755844,38,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d55_cp2.0_ft0.5
jw-15min 2_c1,70,-2.0,0.3,0.7538778874633706,0.6049791427974605,37,24,0.7537550237027092,0.6048209124518882,37,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d70_cp-2.0_ft0.3
jw-15min 2_c1,70,-2.0,0.5,0.7478829584553701,0.5972947684928644,42,24,0.747698832786587,0.597059918462223,42,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d70_cp-2.0_ft0.5
jw-15min 2_c1,70,0.0,0.3,0.7887727098457125,0.6512177493501139,38,24,0.7885442634113432,0.6509063761849097,38,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d70_cp0.0_ft0.3
jw-15min 2_c1,70,0.0,0.5,0.7846773397350959,0.6456535086444118,41,24,0.7844138250580996,0.6452967640040749,41,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d70_cp0.0_ft0.5
jw-15min 2_c1,70,2.0,0.3,0.7733494350117732,0.6304561845770607,38,24,0.7732624539140873,0.6303405780489032,38,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d70_cp2.0_ft0.3
jw-15min 2_c1,70,2.0,0.5,0.7733494350117732,0.6304561845770607,38,24,0.7732624539140873,0.6303405780489032,38,24,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 2_c1/d70_cp2.0_ft0.5
jw-15min 3_c1,40,-2.0,0.3,0.7114193718980926,0.5520953492417627,29,27,0.7113455453860984,0.5520064303034806,29,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d40_cp-2.0_ft0.3
jw-15min 3_c1,40,-2.0,0.5,0.7600174194024256,0.612925884036336,36,27,0.7599265396667616,0.6128076795245264,36,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d40_cp-2.0_ft0.5
jw-15min 3_c1,40,0.0,0.3,0.7823669435523576,0.6425309656382501,33,27,0.782226416968854,0.6423414236181929,33,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d40_cp0.0_ft0.3
jw-15min 3_c1,40,0.0,0.5,0.8035361782924709,0.671592541047925,36,27,0.8033608125099616,0.6713475715223887,36,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d40_cp0.0_ft0.5
jw-15min 3_c1,40,2.0,0.3,0.7622863659869743,0.6158826606081904,31,27,0.7620705039008047,0.6156008935098028,31,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d40_cp2.0_ft0.3
jw-15min 3_c1,40,2.0,0.5,0.7894917718264172,0.6521986001017143,33,27,0.7892749375372243,0.6519027002974022,33,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d40_cp2.0_ft0.5
jw-15min 3_c1,55,-2.0,0.3,0.7992246832033629,0.665590533069493,31,27,0.7991147235959457,0.665438022513545,31,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d55_cp-2.0_ft0.3
jw-15min 3_c1,55,-2.0,0.5,0.8228006409135381,0.6989475780483378,35,27,0.8226624450640329,0.6987481556288041,35,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d55_cp-2.0_ft0.5
jw-15min 3_c1,55,0.0,0.3,0.8568577784769831,0.7495635821546203,33,27,0.8566639610646631,0.7492669975332713,33,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d55_cp0.0_ft0.3
jw-15min 3_c1,55,0.0,0.5,0.8704725005548215,0.7706518884953185,35,27,0.8702306536049345,0.770272849393301,35,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d55_cp0.0_ft0.5
jw-15min 3_c1,55,2.0,0.3,0.8397883811486472,0.7238234538454847,31,27,0.8396885479416051,0.7236751360610946,31,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d55_cp2.0_ft0.3
jw-15min 3_c1,55,2.0,0.5,0.8525205152858767,0.7429505508747888,34,27,0.8524121174119215,0.742785916743503,34,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d55_cp2.0_ft0.5
jw-15min 3_c1,70,-2.0,0.3,0.7951060095870618,0.659897066392177,27,27,0.7950329558583714,0.6597964315486502,27,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d70_cp-2.0_ft0.3
jw-15min 3_c1,70,-2.0,0.5,0.8237450321460381,0.7003116285654746,35,27,0.8236036929293685,0.70010734306047,35,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d70_cp-2.0_ft0.5
jw-15min 3_c1,70,0.0,0.3,0.859090052947701,0.7529867323597983,33,27,0.8589908577478965,0.7528343340461195,33,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d70_cp0.0_ft0.3
jw-15min 3_c1,70,0.0,0.5,0.8753905223284459,0.7783951137784263,34,27,0.8752948790751026,0.778243881698793,34,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d70_cp0.0_ft0.5
jw-15min 3_c1,70,2.0,0.3,0.8486311264578416,0.737062765859779,31,27,0.8484548187112531,0.7367968122290334,31,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d70_cp2.0_ft0.3
jw-15min 3_c1,70,2.0,0.5,0.863106038570393,0.7591790156797609,33,27,0.8629285933529807,0.7589044877116141,33,27,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 3_c1/d70_cp2.0_ft0.5
jw-15min 4_c1,40,-2.0,0.3,0.6812599823958736,0.5165991577578573,53,32,0.6812285596388473,0.5165630213013175,53,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d40_cp-2.0_ft0.3
jw-15min 4_c1,40,-2.0,0.5,0.6519644559049622,0.4836404045582036,63,32,0.6519632365941388,0.4836390625927229,60,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d40_cp-2.0_ft0.5
jw-15min 4_c1,40,0.0,0.3,0.7096415013225578,0.5499568546647365,55,32,0.709402192815652,0.5496694546253181,55,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d40_cp0.0_ft0.3
jw-15min 4_c1,40,0.0,0.5,0.677282532955928,0.5120387005015345,61,32,0.6770536806723105,0.5117771377272388,61,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d40_cp0.0_ft0.5
