pred_label,area,perimeter,convex_area,convexity,solidity,eccentricity,major_axis_length,minor_axis_length,circularity,bbox_area,extent,skeleton_length,mean_intensity,boundary_edge_strength,mean_cellprob,max_cellprob,image_name,run_name,postprocess,matched_gt_label,best_iou,best_dice,quality_good
1,1682.0,227.93607486307096,2418.0,0.695616211745244,0.695616211745244,0.9072220681548948,79.88079496701896,33.602017488883845,0.4068269594641829,4896.0,0.34354575163398693,105.0,0.4037196636199951,0.053383003920316696,3.785676956176758,6.78125,F01_120w1,d30_cp0.0_ft0.2,False,9,0.0024053205515774446,0.004799097734744479,0
2,12063.0,576.0731598529186,14847.0,0.8124873711860982,0.8124873711860982,0.8772610509884299,188.30629188819654,90.38957954857189,0.4567829756768935,20160.0,0.5983630952380953,297.0,0.2749112844467163,0.025526201352477074,5.2743730545043945,8.03038501739502,F01_120w1,d30_cp0.0_ft0.2,False,9,0.016494104154598933,0.032452926361667,0
3,5427.0,354.936074863071,5941.0,0.9134825786904561,0.9134825786904561,0.9111823176889278,140.52331562028604,57.89608079965413,0.5413391056319181,9165.0,0.5921440261865794,143.0,0.23919150233268738,0.027258481830358505,4.236702919006348,7.281250476837158,F01_120w1,d30_cp0.0_ft0.2,False,9,0.007674917919600537,0.015232924394795538,0
4,6571.0,371.42135623730945,7100.0,0.9254929577464789,0.9254929577464789,0.897321942756553,143.5100420434162,63.34197897822584,0.5985598585890762,9660.0,0.6802277432712215,140.0,0.19042736291885376,0.021878531202673912,5.082021236419678,8.14958667755127,F01_120w1,d30_cp0.0_ft0.2,False,9,0.009336877753905539,0.018501013803603514,0
5,2013.0,222.75230867899737,2425.0,0.8301030927835051,0.8301030927835051,0.7992906720232484,74.40782514878528,44.71498129959937,0.5098110108683688,3952.0,0.5093623481781376,97.0,0.2034391611814499,0.030116839334368706,3.577869176864624,6.21875,F01_120w1,d30_cp0.0_ft0.2,False,9,0.002738540736521791,0.005462123226081058,0
6,791.0,141.74011537017762,891.0,0.8877665544332211,0.8877665544332211,0.9557070736431195,61.91807293304531,18.223698508001394,0.4947670664777042,1218.0,0.6494252873563219,47.0,0.17887656390666962,0.026361733675003052,0.65632563829422,1.7975186109542847,F01_120w1,d30_cp0.0_ft0.2,False,0,0.0,0.0,0
7,10455.0,500.6944801964782,12848.0,0.8137453300124533,0.8137453300124533,0.7096466381178832,144.62848968938746,101.89912594212439,0.5240687864780206,16898.0,0.6187122736418511,227.0,0.2414385974407196,0.024328136816620827,5.82053279876709,8.4375,F01_120w1,d30_cp0.0_ft0.2,False,9,0.014877571351171855,0.029318947962096328,0
8,3386.0,405.17871555019025,5677.0,0.5964417826316717,0.5964417826316717,0.9760427795388946,193.2780709630521,42.05319222536983,0.2591812446272835,7920.0,0.42752525252525253,175.0,0.1632865071296692,0.023285306990146637,1.4807649850845337,2.515625,F01_120w1,d30_cp0.0_ft0.2,False,9,0.004350852260317257,0.008664008698803915,0
9,7537.0,377.7056274847714,8423.0,0.894811824765523,0.894811824765523,0.7539407773718626,123.71775697362324,81.27543899283988,0.6638981650847887,12296.0,0.6129635653871177,118.0,0.3284846544265747,0.028217051178216934,5.509408950805664,7.79422664642334,F01_120w1,d30_cp0.0_ft0.2,False,9,0.010877957676921597,0.021521802101452513,0
10,9922.0,643.7127701597078,16752.0,0.5922874880611271,0.5922874880611271,0.6774298000771546,151.00235030749204,111.07543066280377,0.30090183552222854,26364.0,0.37634653315126687,348.0,0.37417998909950256,0.02614007517695427,5.39108419418335,8.0,F01_120w1,d30_cp0.0_ft0.2,False,9,0.014031873542745878,0.027675409242753697,0
11,6499.0,384.16147160748716,7946.0,0.8178957966272338,0.8178957966272338,0.6594086895646166,114.03237101883113,85.72778766334037,0.5533867905724844,11536.0,0.563366851595007,177.0,0.33882936835289,0.022975308820605278,5.136277198791504,7.5625,F01_120w1,d30_cp0.0_ft0.2,False,9,0.00881174005658034,0.017469543040976355,0
12,12871.0,497.00209204105306,14025.0,0.9177183600713013,0.9177183600713013,0.8413461310449998,175.77667782027325,95.00671512237786,0.6547955521237008,20580.0,0.6254130223517979,147.0,0.21112293004989624,0.019314028322696686,5.5527238845825195,9.3125,F01_120w1,d30_cp0.0_ft0.2,False,9,0.01850907756129393,0.0363454346535857,0
13,12491.0,592.7838379715733,16233.0,0.7694819195466026,0.7694819195466026,0.8604214619544002,186.00968914455063,94.78738891447288,0.44669836601907525,23595.0,0.5293918203009113,394.0,0.20080389082431793,0.02323664352297783,5.491662979125977,8.5,F01_120w1,d30_cp0.0_ft0.2,False,9,0.017137742329859696,0.03369797740589965,0
14,5487.0,383.57568516986026,7478.0,0.7337523401979139,0.7337523401979139,0.6693277356533198,105.8006328702251,78.60640864905777,0.4686435943534973,10875.0,0.504551724137931,207.0,0.32694733142852783,0.02823920175433159,4.853994369506836,8.3125,F01_120w1,d30_cp0.0_ft0.2,False,9,0.007181352068223573,0.014260295930771221,0
15,4463.0,348.7766952966369,5813.0,0.7677619129537244,0.7677619129537244,0.8492006704689916,111.16366434447916,58.70222742523443,0.4610434263389665,9782.0,0.4562461664281333,163.0,0.42376741766929626,0.022671423852443695,5.405065059661865,8.82929801940918,F01_120w1,d30_cp0.0_ft0.2,False,9,0.0062516841821611425,0.012425686894113866,0
16,3688.0,386.8183258569795,6021.0,0.6125228367380834,0.6125228367380834,0.8906780860084413,119.87948614308448,54.501352683845404,0.30973244044936454,11790.0,0.31280746395250214,178.0,0.4355423152446747,0.03379721939563751,4.905613422393799,8.6875,F01_120w1,d30_cp0.0_ft0.2,False,9,0.005212142047623071,0.01037023296795024,0
17,7209.0,420.33304448274095,8951.0,0.8053848731985253,0.8053848731985253,0.7539751314833416,124.68008296742178,81.90271576767203,0.5127407363312337,13624.0,0.5291397533763946,220.0,0.2956365942955017,0.02198723517358303,5.386181831359863,8.25,F01_120w1,d30_cp0.0_ft0.2,False,9,0.009826389293326966,0.019461541899699095,0
18,4675.0,412.54520189781084,5704.0,0.8196002805049089,0.8196002805049089,0.9688800102869207,163.88673806268622,40.56702488886848,0.34518220477931016,6747.0,0.6929005483918779,197.0,0.287764310836792,0.024308351799845695,3.831007719039917,6.15625,F01_120w1,d30_cp0.0_ft0.2,False,9,0.006705650636038903,0.013321968803497342,0
19,8537.0,406.5756851698602,9742.0,0.8763087661671115,0.8763087661671115,0.6001467386624944,119.04134707525569,95.21997418067095,0.6489815350339887,12995.0,0.6569449788380146,217.0,0.2711046636104584,0.02042960561811924,5.930405139923096,8.25,F01_120w1,d30_cp0.0_ft0.2,False,9,0.012171088566663511,0.024049468917155106,0
20,8744.0,454.03152929257595,10775.0,0.8115081206496519,0.8115081206496519,0.3976893839422589,116.82360073783208,107.18800310431055,0.533025501899109,15738.0,0.5555979158724107,222.0,0.30727526545524597,0.021821798756718636,5.687942028045654,8.343683242797852,F01_120w1,d30_cp0.0_ft0.2,False,9,0.012536015918380427,0.024761619777070615,0
21,9095.0,592.6000717874997,12614.0,0.7210242587601078,0.7210242587601078,0.9590504439054663,236.41489634177483,66.96104863,0.32545366599571585,30100.0,0.3021594684385382,209.0,0.3550814390182495,0.03047160431742668,4.3359222412109375,7.590701580047607,F01_120w1,d30_cp0.0_ft0.2,False,9,0.013079769257662277,0.025821795389807306,0
22,8057.0,461.41630560342617,10628.0,0.7580918328942416,0.7580918328942416,0.7756074993609992,136.7636472014331,86.32733389533824,0.47555127721071155,17110.0,0.47089421390999414,278.0,0.21976055204868317,0.024922873824834824,5.2970380783081055,8.705205917358398,F01_120w1,d30_cp0.0_ft0.2,False,9,0.011327574882435269,0.022401396271138112,0
23,4514.0,506.68838354206827,10347.0,0.4362617183724751,0.4362617183724751,0.9006136643011236,180.08507942374118,78.2686773415517,0.22094771952863201,16986.0,0.2657482632756388,249.0,0.4216833710670471,0.04761768877506256,4.051882743835449,8.25,F01_120w1,d30_cp0.0_ft0.2,False,9,0.006189668932813692,0.01230318522228237,0
24,7888.0,641.3401871576773,14484.0,0.5446009389671361,0.5446009389671361,0.8251805879163092,153.76336757394287,86.85616106164908,0.2409904638354844,19604.0,0.40236686390532544,338.0,0.40308356285095215,0.03314985707402229,5.26408052444458,9.1875,F01_120w1,d30_cp0.0_ft0.2,False,9,0.011106483005304198,0.02196896804042336,0
25,10630.0,521.1269837220809,13459.0,0.7898060777175124,0.7898060777175124,0.462571999293947,135.76684814386562,120.36840568748994,0.4918764227499556,21114.0,0.5034574216159894,273.0,0.32965266704559326,0.024904176592826843,5.447365760803223,7.948971748352051,F01_120w1,d30_cp0.0_ft0.2,False,9,0.015057051940202867,0.02966740029325934,0
26,5443.0,416.29751057680824,8152.0,0.6676889106967615,0.6676889106967615,0.5000088768167278,100.97314753247167,87.44479336640406,0.39467586605902993,13216.0,0.4118492736077482,198.0,0.1874983012676239,0.05152956396341324,4.91837215423584,8.203801155090332,F01_120w1,d30_cp0.0_ft0.2,False,9,0.0072023410884314125,0.014301676623682617,0
27,6739.0,462.6761902332486,8091.0,0.8329007539241132,0.8329007539241132,0.9538435469004919,182.1844995154452,54.71073261397341,0.3955952048112157,14861.0,0.45346881098176434,203.0,0.36624985933303833,0.0377562940120697,5.107810020446777,8.1875,F01_120w1,d30_cp0.0_ft0.2,False,9,0.009680126096571094,0.019174639267179626,0
28,1552.0,154.02438661763952,1619.0,0.958616429894997,0.958616429894997,0.7419282152290072,54.76719548816114,36.720272189311316,0.8220961324087217,2214.0,0.7009936766034327,31.0,0.2641281485557556,0.024627789855003357,4.052706241607666,7.4184184074401855,F01_120w1,d30_cp0.0_ft0.2,False,9,0.0020363632126178775,0.004064449729327418,0
29,7859.0,425.9310242291876,9382.0,0.8376678746535919,0.8376678746535919,0.8818184482151217,152.9815583694795,72.14442653128634,0.5443755404564432,16236.0,0.4840477950234048,190.0,0.2344563603401184,0.026771582663059235,5.282524585723877,8.400928497314453,F01_120w1,d30_cp0.0_ft0.2,False,9,0.011109897392203555,0.021975647594504936,0
30,6055.0,610.8610024378487,10897.0,0.5556575204184638,0.5556575204184638,0.9873910784526828,259.89854874766434,41.14191415543756,0.20391032200799306,30024.0,0.20167199573674394,261.0,0.4030769467353821,0.03282008692622185,4.436150074005127,8.0,F01_120w1,d30_cp0.0_ft0.2,False,9,0.008457469429605076,0.016773081039081827,0
31,6891.0,434.5168106668145,8638.0,0.7977541097476267,0.7977541097476267,0.90160234369626,148.15996032832595,64.08893904783434,0.458647412338373,14751.0,0.467154769168192,188.0,0.32262104749679565,0.02573428675532341,4.200576305389404,6.602903366088867,F01_120w1,d30_cp0.0_ft0.2,False,9,0.00965592572364828,0.019127161001363135,0
32,10705.0,614.3158005400379,15469.0,0.6920292197297822,0.6920292197297822,0.9335025971589861,230.86712484522005,82.78217181814152,0.3564619381777033,28210.0,0.3794753633463311,252.0,0.24978069961071014,0.019758060574531555,5.0762410163879395,10.25,F01_120w1,d30_cp0.0_ft0.2,False,9,0.014486657983015943,0.028559583054188323,0
33,11940.0,583.6295090390227,15827.0,0.754407025968282,0.754407025968282,0.5902230023688579,153.41518646405999,123.8429121688975,0.44049370493119416,22464.0,0.531517094017094,294.0,0.24014604091644287,0.023929733783006668,5.901740550994873,8.75,F01_120w1,d30_cp0.0_ft0.2,False,9,0.016727939838238826,0.032905439464760336,0
